City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cidreira,BR,78.76,clear sky,-30.1811,-50.2056,Hotel Castelo
3,Puerto Ayora,EC,87.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Hilo,US,77.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Sabang,ID,82.47,few clouds,5.8933,95.3214,Hotel Citra
20,Kapaa,US,76.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Progreso,MX,87.91,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
27,Castro,BR,80.06,few clouds,-24.7911,-50.0119,CHACARA BAILLY
28,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
30,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
31,Tamandare,BR,84.33,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
34,Port-Gentil,GA,80.58,light rain,-0.7193,8.7815,Fengshui Residence
37,Santiago Del Estero,AR,82.26,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
40,Hualmay,PE,75.88,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
46,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
47,Sao Filipe,CV,79.41,broken clouds,14.8961,-24.4956,Hotel Xaguate
49,Kavieng,PG,80.47,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
50,Meulaboh,ID,77.45,overcast clouds,4.1363,96.1285,Kost Pria
53,Arraial Do Cabo,BR,80.46,mist,-22.9661,-42.0278,Pousada Porto Praia
54,Lima,PE,80.91,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
56,Kande,TG,84.43,broken clouds,9.9578,1.0447,
57,Rio Grande,BR,78.91,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
58,Mumford,GH,80.64,scattered clouds,5.2618,-0.759,Spanish Villa
