,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,78.76,69,1,18.14,clear sky
1,Victoria,HK,22.2855,114.1577,65.25,88,100,8.01,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,64.42,68,40,18.41,scattered clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,87.76,84,100,4.0,overcast clouds
4,Nikolskoye,RU,59.7035,30.7861,34.72,96,100,12.12,snow
5,Polson,US,47.6936,-114.1632,41.59,68,13,1.57,few clouds
6,Mataura,NZ,-46.1927,168.8643,50.49,92,92,2.82,overcast clouds
7,Jamestown,US,42.097,-79.2353,31.32,63,100,9.22,overcast clouds
8,Saint George,US,37.1041,-113.5841,64.87,20,0,3.44,clear sky
9,Hilo,US,19.7297,-155.09,77.11,62,20,4.61,few clouds
10,Dingle,PH,10.9995,122.6711,74.43,92,36,8.39,scattered clouds
11,Portland,US,45.5234,-122.6762,60.78,37,0,13.0,clear sky
12,Esperance,AU,-33.8667,121.9,63.95,63,100,10.6,overcast clouds
13,Calabozo,VE,8.9242,-67.4293,96.44,28,48,8.86,scattered clouds
14,Cape Town,ZA,-33.9258,18.4232,70.11,80,0,16.11,clear sky
15,Necochea,AR,-38.5473,-58.7368,69.04,46,3,11.16,clear sky
16,Margate,GB,51.3813,1.3862,44.31,68,100,5.99,overcast clouds
17,Lokomotivnyy,RU,53.0118,60.5684,18.9,96,100,8.5,overcast clouds
18,Sabang,ID,5.8933,95.3214,82.47,72,19,16.82,few clouds
19,Springdale,US,36.1867,-94.1288,33.75,40,0,12.66,clear sky
20,Kapaa,US,22.0752,-159.319,76.19,81,100,4.61,overcast clouds
21,Ponta Do Sol,PT,32.6667,-17.1,63.23,53,34,4.23,scattered clouds
22,Lebu,CL,-37.6167,-73.65,67.86,60,31,12.28,scattered clouds
23,Fort Frances,CA,48.5999,-93.4003,-6.95,66,100,4.61,overcast clouds
24,Progreso,MX,21.2833,-89.6667,87.91,73,90,11.21,overcast clouds
25,Uporovo,RU,56.3109,66.2693,-4.54,100,97,2.84,overcast clouds
26,Mecca,SA,21.4267,39.8261,74.68,39,0,1.95,clear sky
27,Castro,BR,-24.7911,-50.0119,80.06,44,17,1.99,few clouds
28,Santa Cruz,BO,-17.8,-63.1667,84.25,54,75,18.41,broken clouds
29,Upernavik,GL,72.7868,-56.1549,-3.98,98,100,15.19,overcast clouds
30,Kahului,US,20.8947,-156.47,76.84,70,20,8.01,few clouds
31,Tamandare,BR,-8.7597,-35.1047,84.33,64,38,12.01,scattered clouds
32,Qaanaaq,GL,77.484,-69.3632,-20.29,47,0,8.5,clear sky
33,Bor,RU,56.3567,44.0669,26.53,96,69,7.16,broken clouds
34,Port-Gentil,GA,-0.7193,8.7815,80.58,84,79,8.59,light rain
